iris_code,iris_label,bv_code,bv_label,dep_code,com_code,is_commune_entiere,nb_logements_total,nb_residences_principales,nb_logements_vacants,taux_vacance_logements_pct,part_proprietaires_pct,part_hlm_pct,part_logements_avant_1971_pct,nb_passoires_energetiques_estime,taux_passoires_energetiques_pct,nb_residences_principales_estime,score_env_0_100,population_totale,part_moins_25_ans_pct,part_plus_65_ans_pct,part_cadres_pct,revenu_median_uc,revenu_q1_uc,revenu_d1_uc,revenu_d9_uc,taux_pauvrete_60,taux_pauvrete_40,ratio_interdecile_d9d1,part_menages_imposes,nb_menages_fiscaux,taux_chomage_pct,taux_emploi_pct,taux_activite_pct,pop_active_1564,nb_chomeurs_1564,nb_emplois_aides,flag_secret_statistique,score_social_0_100,nb_equipements_total,nb_equip_sante,nb_equip_enseignement,nb_equip_transports,nb_equip_commerces,nb_equip_services,nb_medecins_generalistes,nb_pharmacies,nb_ecoles_primaires,nb_colleges_lycees,nb_gares_arrets_tc,nb_banques_agences,nb_france_services,indice_presence_services,est_zrr,score_gouvernance_0_100,score_esg_0_100,pct_completude,dbt_updated_at,version_modele
170020000,Agudelle,13,HTE SAINTONGE NORD,17,17002,t,78.564957,64.453846,5.291667,6.74,80.95,0.00,53.97,25.0000,42.3729,59.0000,32.69,133.000000,25.38,31.54,0.00,,,,,,,,,,11.32,66.20,74.65,54.223077,6.138462,1.023077,,60.29,3,3,,,,,,,,,,,,2.34,t,0.93,38.55,60,2026-04-14 09:17:41.489314+00,1.0
170030000,Aigrefeuille-d'Aunis,7,VDSM SURGERES,17,17003,t,2209.572700,2001.804878,140.628875,6.36,75.48,1.37,25.43,571.0000,32.2781,1769.0000,50.87,4578.000000,26.25,26.35,7.85,,,,,,,,,,7.94,73.60,79.96,2081.989688,165.385207,10.642110,,64.24,221,116,22,5,3,19,1,9,1,9,2,,,96.96,t,75.45,63.70,70,2026-04-14 09:17:41.489314+00,1.0
170040000,Île-d'Aix,11,OCEANE,17,17004,t,452.093293,116.586238,6.493685,1.44,50.01,22.50,55.70,48.0000,41.0256,117.0000,38.71,196.000000,8.86,48.03,2.75,,,,,,,,,,20.84,66.95,84.58,78.609362,16.384056,1.120144,,49.19,37,18,6,1,,7,1,,,3,,,,58.64,t,60.12,49.30,70,2026-04-14 09:17:41.489314+00,1.0
170050000,Allas-Bocage,14,HTE SAINTONGE SUD,17,17005,t,122.000000,97.000000,10.000000,8.20,73.20,0.00,54.64,29.2959,33.3333,87.8878,37.30,197.000000,21.83,30.96,0.00,,,,,,,,,,7.59,63.48,68.70,79.000000,6.000000,1.000000,,64.65,4,3,,,,1,,,,,,,,5.37,t,2.15,42.19,60,2026-04-14 09:17:41.489314+00,1.0
170060000,Allas-Champagne,13,HTE SAINTONGE NORD,17,17006,t,127.792237,113.125570,11.733333,9.18,84.00,0.00,41.24,31.0000,28.7037,108.0000,45.39,266.000000,28.02,20.22,8.14,,,,,,,,,,8.16,73.15,79.65,128.698578,10.507994,0.888766,,63.98,7,5,,1,,1,,,,,,,1,13.90,t,5.56,44.73,60,2026-04-14 09:17:41.489314+00,1.0
170070000,Anais,7,VDSM SURGERES,17,17007,t,150.916319,133.324356,7.243749,4.80,89.17,0.00,36.72,34.3259,26.3566,130.2364,54.79,318.000000,26.43,16.48,1.81,,,,,,,,,,8.25,70.43,76.76,160.644124,13.256118,0.000000,,63.88,15,12,,,,3,,1,,,,,1,32.59,t,13.04,48.90,60,2026-04-14 09:17:41.489314+00,1.0
170080000,Andilly,7,VDSM SURGERES,17,17008,t,1068.223543,961.517944,70.446415,6.59,82.97,0.00,30.88,251.9877,27.4298,918.6637,53.52,2314.000000,28.37,17.23,7.59,,,,,,,,,,7.92,70.84,76.93,1125.633157,89.165584,3.119926,,64.26,89,48,10,3,,8,1,4,4,1,,,2,80.84,t,69.00,62.76,70,2026-04-14 09:17:41.489314+00,1.0
170090000,Angliers,7,VDSM SURGERES,17,17009,t,541.978247,514.837829,11.631608,2.15,82.56,3.29,10.86,85.4623,21.3123,401.0000,72.20,1366.000000,34.55,8.37,7.58,,,,,,,,,,5.44,82.18,86.90,782.199569,42.518371,2.837588,,67.15,42,23,6,1,1,3,,2,,5,,,,63.32,t,50.33,64.21,60,2026-04-14 09:17:41.489314+00,1.0
170100000,Angoulins,9,LA ROCHELLE-RE,17,17010,t,2415.935609,2013.084809,158.001223,6.54,69.27,5.30,24.73,532.6678,28.6624,1858.4189,54.51,4147.000000,22.10,29.92,9.71,,,,,,,,,,12.17,63.19,71.94,1699.451138,206.773691,12.246395,,59.30,253,88,89,1,1,16,1,9,5,19,,,1,97.78,t,75.78,62.22,70,2026-04-14 09:17:41.489314+00,1.0
170110000,Annepont,10,SANTONES,17,17011,t,194.117294,167.850586,16.164128,8.33,75.26,0.00,42.83,29.3909,18.2927,160.6701,56.31,395.000000,25.76,22.43,8.08,,,,,,,,,,13.59,70.24,81.30,184.153623,25.035304,0.000000,,57.65,16,7,,,,3,,,,,,,1,33.76,t,13.50,46.28,60,2026-04-14 09:17:41.489314+00,1.0
